"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 04:14:29 UTC 2024","Wed Feb 07 04:14:30 UTC 2024","334","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Feb 07 04:27:58 UTC 2024","Wed Feb 07 04:28:01 UTC 2024","2977","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Feb 07 04:05:30 UTC 2024","Wed Feb 07 04:09:49 UTC 2024","258919","","18. Check Admin header","","","","2. Check Navbar",""
"failed","Wed Feb 07 03:59:54 UTC 2024","Wed Feb 07 04:02:32 UTC 2024","158450","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Feb 07 04:27:22 UTC 2024","Wed Feb 07 04:27:22 UTC 2024","19","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Feb 07 02:45:01 UTC 2024","Wed Feb 07 02:45:17 UTC 2024","15173","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Feb 07 02:27:12 UTC 2024","Wed Feb 07 02:27:20 UTC 2024","8622","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Feb 07 04:14:23 UTC 2024","Wed Feb 07 04:14:29 UTC 2024","6113","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Feb 07 02:31:21 UTC 2024","Wed Feb 07 02:31:27 UTC 2024","6124","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Feb 07 02:20:27 UTC 2024","Wed Feb 07 02:20:36 UTC 2024","8948","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Feb 07 03:39:20 UTC 2024","Wed Feb 07 03:39:22 UTC 2024","2323","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Feb 07 03:38:52 UTC 2024","Wed Feb 07 03:39:06 UTC 2024","14381","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Feb 07 04:14:41 UTC 2024","Wed Feb 07 04:14:42 UTC 2024","985","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Feb 07 02:48:29 UTC 2024","Wed Feb 07 02:48:32 UTC 2024","3069","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"failed","Wed Feb 07 03:56:15 UTC 2024","Wed Feb 07 03:58:54 UTC 2024","159485","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Feb 07 02:51:59 UTC 2024","Wed Feb 07 02:52:10 UTC 2024","10539","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
